particulars,uom,unit_cost,supply_code,specifications,category_item_id,category_item_budget_id,category_group_id,is_ppmp
Gas Mask spray mist mask,PIECE,974.37,AG-120,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,9,10,5,
Gestating Pellets 50kg/Bag,BAG,2657.35,AG-121,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,9,10,5,
Glassine bag for seed packing 100s,PACK,230.30,AG-123,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,9,10,5,
Goat breeder stock,HEAD,17715.61,AG-124,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,9,10,5,
Herbicide Isopropylamine Salt Glyphosate Glyphosate Equivalent,LITER,1045.00,AG-132,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,9,10,5,
Hog Booster  PreStarter,KILO,4589.96,AG-134,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,9,10,5,
Hog PreStarter Piglets,SACK,2834.50,AG-135,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,9,10,5,
Hog wire 22x49 HOLE  4FT X 30 Meters,METER,3020.52,AG-043,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,9,10,5,
Hybrid Corn Seeds 9kg/Bag,BAG,7150.00,AG-138,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,9,10,5,
Hydrosol AB concentrate  undiluted,PACK,2125.87,AG-141,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,9,10,5,
Imida cloprid Betacyfluthrin cychlohexanone,BOTTLE,779.48,AG-144,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,9,10,5,
Muriate of Photash (0-0-60) 50 kg/ Bag,BAG,3960.00,AG-040,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,9,10,5,
Urea (46-0-0) Fertilizer 50kg/BagUrea (46-0-0) Fertilizer 50kg/Bag,SACK,3960.00,AG-502,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,9,10,5,
Coupling PVC 1,PIECE,30.80,PM-004,1040413000-Construction Materials Inventory - 00000-Construction Materials Inventory,13,1,5,
Coupling PVC 2,PIECE,33.00,PM-004,1040413000-Construction Materials Inventory - 00000-Construction Materials Inventory,13,1,5,
Coupling PVC 3/4,PIECE,27.50,PM-004,1040413000-Construction Materials Inventory - 00000-Construction Materials Inventory,13,1,5,
Black PE Hose/Pipe 3/4,ROLL,3300.00,PM-001,"1040499000-Other Supplies and Materials Inventory - 00002-Automotive, Plumbing, Gardening, and Repair Tools",14,1,5,
